2580MSA FAYETTEVILLE-SPRINGDALE-ROGERS, AR                            285017  
2600PMSAFITCHBURG-LEOMINSTER, MA                                    07142620  
2620MSA FLAGSTAFF, AZ-UT                                              120652  
2640PMSAFLINT, MI                                                   35437349  
2650MSA FLORENCE, AL                                                  136879  
2655MSA FLORENCE, SC                                                  125229  
2670MSA FORT COLLINS-LOVELAND, CO                                     236849  
2680PMSAFORT LAUDERDALE, FL                                         561535468 
2700MSA FORT MYERS-CAPE CORAL, FL                                     400542  
2710MSA FORT PIERCE-PORT SAINT LUCIE, FL                              299967  
2720MSA FORT SMITH, AR-OK                                             195547  
2750MSA FORT WALTON BEACH, FL                                         170049  
2760MSA FORT WAYNE, IN                                                484320  
2800PMSAFORT WORTH-ARLINGTON, TX                                    311629213 
2840MSA FRESNO, CA                                                    879829  
2880MSA GADSDEN, AL                                                   103472  
2900MSA GAINESVILLE, FL                                               198484  
2920PMSAGALVESTON-TEXAS CITY, TX                                    42248469  
2960PMSAGARY, IN                                                    14628377  
2975MSA GLENS FALLS, NY                                               121582  
2980MSA GOLDSBORO, NC                                                 111711  
2985MSA GRAND FORKS, ND-MN                                            95461   
2995MSA GRAND JUNCTION, CO                                            115147  
3000MSA GRAND RAPIDS-MUSKEGON-HOLLAND, MI                             1052092 
3040MSA GREAT FALLS, MT                                               78282   
3060PMSAGREELEY, CO                                                 34165805  
3080MSA GREEN BAY, WI                                                 216522  
3120MSA GREENSBORO--WINSTON-SALEM--HIGH POINT, NC                     1179384 
3150MSA GREENVILLE, NC                                                127960  
3160MSA GREENVILLE-SPARTANBURG-ANDERSON, SC                           929565  
3180PMSAHAGERSTOWN, MD                                              97127791  
3200PMSAHAMILTON-MIDDLETOWN, OH                                     21333486  
3240MSA HARRISBURG-LEBANON-CARLISLE, PA                               618375  
3280MSA HARTFORD, CT                                                  1147504 
3285MSA HATTIESBURG, MS                                               113054  
3290MSA HICKORY-MORGANTON-LENOIR, NC                                  325821  
3320MSA HONOLULU, HI                                                  864571  
3350MSA HOUMA, LA                                                     194591  
3360PMSAHOUSTON, TX                                                 424010969 
3362CMSAHOUSTON-GALVESTON-BRAZORIA, TX                              424493741 
3400MSA HUNTINGTON-ASHLAND, WV-KY-OH                                  312447  
3440MSA HUNTSVILLE, AL                                                343418  
3480MSA INDIANAPOLIS, IN                                              1536665 
3500MSA IOWA CITY, IA                                                 103813  
3520MSA JACKSON, MI                                                   157271  
3560MSA JACKSON, MS                                                   432647  
3580MSA JACKSON, TN                                                   101611  
3600MSA JACKSONVILLE, FL                                              1056332 
3605MSA JACKSONVILLE, NC                                              142480  
3610MSA JAMESTOWN, NY                                                 137431  
3620MSA JANESVILLE-BELOIT, WI                                         151121  
3640PMSAJERSEY CITY, NJ                                             70552819  
3660MSA JOHNSON CITY-KINGSPORT-BRISTOL, TN-VA                         462769  
3680MSA JOHNSTOWN, PA                                                 233794  
3700MSA JONESBORO, AR                                                 77668   
3710MSA JOPLIN, MO                                                    149981  
3720MSA KALAMAZOO-BATTLE CREEK, MI                                    447164  
3740PMSAKANKAKEE, IL                                                14102720  
3760MSA KANSAS CITY, MO-KS                                            1755899 
3800PMSAKENOSHA, WI                                                 14146315  
3810MSA KILLEEN-TEMPLE, TX                                            296316  
3840MSA KNOXVILLE, TN                                                 672087  
3850MSA KOKOMO, IN                                                    100377  
3870MSA LA CROSSE, WI-MN                                              121927  
3880MSA LAFAYETTE, LA                                                 377238  
3920MSA LAFAYETTE, IN                                                 175439  
3960MSA LAKE CHARLES, LA                                              180607  
3980MSA LAKELAND-WINTER HAVEN, FL                                     457347  
4000MSA LANCASTER, PA                                                 460035  
4040MSA LANSING-EAST LANSING, MI                                      450789  
4080MSA LAREDO, TX                                                    193180  
4100MSA LAS CRUCES, NM                                                170361  
4120MSA LAS VEGAS, NV-AZ                                              1381086 
4150MSA LAWRENCE, KS                                                  98343   
4160PMSALAWRENCE, MA-NH                                             07388842  
4200MSA LAWTON, OK                                                    106621  
4240MSA LEWISTON-AUBURN, ME                                           88977   
4280MSA LEXINGTON, KY                                                 455617  
4320MSA LIMA, OH                                                      154065  
4360MSA LINCOLN, NE                                                   237657  
4400MSA LITTLE ROCK-NORTH LITTLE ROCK, AR                             559074  
4420MSA LONGVIEW-MARSHALL, TX                                         209493  
4472CMSALOS ANGELES-RIVERSIDE-ORANGE COUNTY, CA                     4916036587
4480PMSALOS ANGELES-LONG BEACH, CA                                  499329989 
4520MSA LOUISVILLE, KY-IN                                             1005849 
4560PMSALOWELL, MA-NH                                               07297189  
4600MSA LUBBOCK, TX                                                   227890  
4640MSA LYNCHBURG, VA                                                 208835  
4680MSA MACON, GA                                                     321586  
4720MSA MADISON, WI                                                   428563  
